facility_id,facility_name,county,is_houston_area,hospital_ownership,measure_id,measure_name,top_box_pct,completed_surveys
450058,BAPTIST MEDICAL CENTER,BEXAR,False,Proprietary,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",64.0,3690.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",80.0,274.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",83.0,274.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",80.0,274.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",74.0,274.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",90.0,274.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",82.0,274.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",85.0,274.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,BEXAR,False,Proprietary,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",79.0,274.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",69.0,112.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",73.0,112.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",81.0,112.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",55.0,112.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",85.0,112.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",67.0,112.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",65.0,112.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,DENTON,False,Proprietary,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",69.0,112.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,COLLIN,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",78.0,482.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,COLLIN,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",81.0,482.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,COLLIN,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",80.0,482.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,COLLIN,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",66.0,482.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,COLLIN,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",88.0,482.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,COLLIN,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",78.0,482.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,COLLIN,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",70.0,482.0
