facility_id,facility_name,city,county,hospital_ownership,hospital_type,overall_rating,is_houston_area,readm_pn_pct,readm_hf_pct,mort_hf_pct,mort_pn_pct,hai_clabsi_sir,hai_cauti_sir,sepsis_bundle_pct,ed_left_without_seen_pct,recommend_pct,rated_9_10_pct,hcahps_star
45066F,DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),DALLAS,DALLAS,Veterans Health Administration,Acute Care - Veterans Administration,3.0,False,16.2,20.8,5.8,10.2,0.38,0.206,,,63.0,66.0,3.0
45070F,Darnall AMC (FT Cavazos),Fort Cavazos,BELL,Department of Defense,Acute Care - Department of Defense,,False,,,,,,,58.0,2.0,77.0,77.0,4.0
450147,DE TAR HOSPITAL NAVARRO,VICTORIA,VICTORIA,Proprietary,Acute Care Hospitals,2.0,False,16.9,21.8,11.6,13.9,1.471,0.0,60.0,2.0,66.0,65.0,2.0
453310,DELL CHILDREN'S MEDICAL CENTER,AUSTIN,TRAVIS,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
450124,DELL SETON  MED CENTER AT THE UNIVERSITY OF TX,AUSTIN,TRAVIS,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,17.3,21.8,9.7,14.4,0.628,0.253,42.0,,78.0,78.0,4.0
451390,DIMMIT REGIONAL HOSPITAL,CARRIZO SPRINGS,DIMMIT,Voluntary non-profit - Private,Critical Access Hospitals,,False,,,,,,,,,,,
450643,DOCTORS HOSPITAL OF LAREDO,LAREDO,WEBB,Proprietary,Acute Care Hospitals,4.0,False,19.0,22.4,10.5,15.2,0.446,0.0,55.0,1.0,67.0,67.0,3.0
450869,DOCTORS HOSPTAL AT RENAISSANCE,EDINBURG,HIDALGO,Physician,Acute Care Hospitals,3.0,False,16.7,19.9,10.1,15.1,0.0,0.252,71.0,1.0,70.0,69.0,3.0
453321,DRISCOLL CHILDREN'S HOSPITAL RIO GRANDE VALLEY,EDINBURG,HIDALGO,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
453301,DRISCOLL CHILDRENS HOSPITAL,CORPUS CHRISTI,NUECES,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
670320,EAST HOUSTON MEDICAL CENTER,HOUSTON,HARRIS,Proprietary,Acute Care Hospitals,,True,,,,,,,,2.0,,,
671303,EASTLAND MEMORIAL HOSPITAL,EASTLAND,EASTLAND,Government - Hospital District or Authority,Critical Access Hospitals,,False,,,,,,,,,,,
450694,EL CAMPO MEMORIAL HOSPITAL,EL CAMPO,WHARTON,Voluntary non-profit - Other,Acute Care Hospitals,3.0,False,17.5,22.3,11.9,14.3,,,46.0,0.0,53.0,53.0,3.0
454109,EL PASO BEHAVIORAL HEALTH SYSTEM,EL PASO,EL PASO,Proprietary,Psychiatric,,False,,,,,,,,,,,
453313,EL PASO CHILDREN'S HOSPITAL,EL PASO,EL PASO,Voluntary non-profit - Private,Childrens,,False,,,,,,,,,,,
454100,EL PASO PSYCHIATRIC CENTER,EL PASO,EL PASO,Government - State,Psychiatric,,False,,,,,,,,,,,
451343,ELECTRA MEMORIAL HOSPITAL,ELECTRA,WICHITA,Government - Hospital District or Authority,Critical Access Hospitals,,False,17.4,,,13.8,,,,1.0,96.0,95.0,
670285,ELITE HOSPITAL KINGWOOD,KINGWOOD,HARRIS,Proprietary,Acute Care Hospitals,,True,,,,,,,23.0,1.0,,,
450833,ENNIS REGIONAL MEDICAL CENTER,ENNIS,ELLIS,Proprietary,Acute Care Hospitals,,False,17.2,,,16.3,,,47.0,5.0,82.0,78.0,
670327,EXCEPTIONAL COMMUNITY HOSPITAL LUBBOCK,LUBBOCK,LUBBOCK,Proprietary,Acute Care Hospitals,,False,,,,,,,,,,,
450241,FAITH COMMUNITY HOSPITAL,JACKSBORO,JACK,Government - Hospital District or Authority,Acute Care Hospitals,,False,16.9,,,16.5,,,17.0,1.0,67.0,75.0,
670780,FALLS COMMUNITY HOSPITAL AND CLINIC,MARLIN,FALLS,Voluntary non-profit - Private,Rural Emergency Hospital,,False,,,,,,,,,,,
451313,FISHER COUNTY HOSPITAL DISTRICT,ROTAN,FISHER,Government - Hospital District or Authority,Critical Access Hospitals,,False,,,,,,,,,,,
450092,FORT DUNCAN MEDICAL CENTER,EAGLE PASS,MAVERICK,Proprietary,Acute Care Hospitals,3.0,False,15.9,22.5,11.0,17.8,,0.0,44.0,0.0,55.0,59.0,3.0
